english,gloss
Are you going to the store tomorrow?,TOMORROW FUTURE YOU GO STORE ?
Where did we meet yesterday?,YESTERDAY WE MEET WHERE ?
I don't like pizza.,ME NOT LIKE PIZZA
We have finished the exam.,WE FINISH EXAM
Do you really like that movie?,YOU LIKE++ MOVIE ?
"It rained a lot, so we went home.",RAIN++ SO WE GO HOME
Priya will call John at 3 pm.,FUTURE FS-PRIYA CALL FS-JOHN 3 PM
Let's take a photo after class.,AFTER CLASS LET WE PHOTO-TAKE
I will wait 5 minutes.,FUTURE ME WAIT 5-MINUTE
I have to study tonight.,ME MUST STUDY TONIGHT
